merchant_id,created_at,category
5d5f0919-8a34-4a0c-a85b-167489db20e4,2026-06-05T17:07:10.995160,retail
1882a8e2-6131-4dca-a963-126a7aefb204,2026-05-30T00:23:48.100263,digital
16fb4c7e-a192-4717-8842-42c13f2c561f,2026-05-22T02:48:39.427392,digital
c10f642c-9a05-4805-bf15-16e4afda9894,2026-05-11T15:55:14.462912,digital
80a41885-a259-4759-aa2b-e827e6945a7b,2026-07-14T00:58:51.635895,retail
b87734d7-2cbb-46f7-9235-1b9e3449a1a0,2026-07-14T03:41:23.359378,travel
00636347-16f3-41ba-996d-4001530a2900,2026-05-03T15:19:11.708219,travel
e4f98e64-35f3-4a77-a855-5b041bed31b8,2026-07-07T09:24:25.252065,travel
4cee5098-68d9-4585-af77-63b48001aa8d,2026-06-26T22:09:46.021773,travel
0290098a-2883-480e-9135-ec1b63117551,2026-05-08T09:42:51.216421,food
9855ef0a-1fe1-4e5a-bcbd-e334e1b56a3a,2026-05-07T00:37:03.645414,food
4974600e-7f42-4a2f-a0a3-3a75ed1acbf2,2026-05-25T15:45:07.730646,retail
f4368938-0f04-42c0-8974-deadf04d92cc,2026-07-09T01:00:17.689001,travel
f0102944-b58b-44db-b41d-9cdec68e5b10,2026-05-28T15:45:25.434976,digital
5b958d18-31eb-4227-92c3-1b040aeeff44,2026-05-06T22:54:41.335303,travel
7b9c9858-3ace-474f-9e09-3068ff8afd79,2026-05-03T14:30:24.535290,retail
90a0bcab-3e57-4703-af37-70ed71f557e0,2026-06-15T00:07:05.946609,retail
0015e454-d702-4f21-b30c-da82902d7195,2026-07-12T18:49:07.171098,food
fb40929a-6543-4811-b622-1a2234c138d0,2026-07-20T19:35:27.431768,digital
0dd92647-9520-4a63-ba7c-eafb3110d867,2026-05-17T00:01:27.501163,food
2b8de1d5-89c0-410c-ad26-6a6d91a0ba25,2026-07-24T09:35:49.630101,travel
20bff0e3-765a-4754-a8ca-be448953ed76,2026-06-24T05:33:04.468851,travel
169d8c4a-5f3e-40a3-ada1-88d6baf0bb69,2026-06-05T10:31:49.349071,digital
27f51f4e-85c4-4d56-8795-079c519438f0,2026-06-20T17:22:59.503815,retail
f81806b5-fe8f-482f-9666-845213e5d9e9,2026-06-29T13:43:02.836535,travel
068694a2-81e3-4ba7-924c-49cb259a4fb7,2026-06-05T19:49:12.103227,travel
32e43d60-c980-47a7-9556-2d67a2bffc60,2026-07-02T19:35:38.039345,travel
b2aa743e-11b1-4f75-96dc-89ba8ac7dda2,2026-06-15T10:18:21.910560,retail
bbe9547d-b9dc-4a77-987f-d64988f92226,2026-06-16T17:38:10.338800,digital
c8484b06-90c1-4818-b278-cd7b0d9b3a1d,2026-04-28T23:01:15.716522,travel
497a5847-65f3-49ac-b36c-8c53d5712e2f,2026-07-15T10:43:06.735130,digital
f9a82bc5-cde2-4498-9b36-50e6aec5f7c5,2026-06-21T22:48:20.604327,digital
f6b105b7-5ae5-466e-939d-7bd8f59747b4,2026-04-28T09:18:25.120014,travel
6954ffb0-d6b5-4fd9-8708-ba543704532f,2026-06-01T11:17:31.951059,food
8f89b41e-95fa-4492-b252-66ad36e76f34,2026-05-23T23:54:32.829173,food
