phase,account_node,account_id,is_fraud_account,degree,weighted_degree,connected_device_count,connected_ip_count,connected_merchant_count,shared_device_count,shared_ip_count,proj_degree,proj_weighted_degree,community_id_louvain,community_id_lpa
T3,account:ce224f6f-1354-40be-8e28-2ccd2b4e9ce4,ce224f6f-1354-40be-8e28-2ccd2b4e9ce4,False,4,9.0,1,2,1,1,2,29,29,46,0
T3,account:e4deb4e3-ca24-48f3-a319-6ac65f2e9fb6,e4deb4e3-ca24-48f3-a319-6ac65f2e9fb6,False,0,0.0,0,0,0,0,0,0,0,0,1
T3,account:50ade2af-05d3-432c-bd3d-c3311370be54,50ade2af-05d3-432c-bd3d-c3311370be54,False,5,9.0,1,2,2,1,1,46,46,70,0
T3,account:ade0cc09-0bfa-4a8f-bced-98b3cd10e365,ade0cc09-0bfa-4a8f-bced-98b3cd10e365,False,5,9.0,1,1,3,1,1,75,76,54,0
T3,account:f5ddf9b6-5b0c-4099-b413-e8e5ae6a99a6,f5ddf9b6-5b0c-4099-b413-e8e5ae6a99a6,False,4,9.0,2,1,1,2,1,44,44,45,0
T3,account:e7edde97-cd48-47f8-a796-7fd39efd583d,e7edde97-cd48-47f8-a796-7fd39efd583d,False,6,12.0,2,1,3,2,1,82,84,12,0
T3,account:3f383ed8-4874-4bc7-9c4e-c4128f4cdb25,3f383ed8-4874-4bc7-9c4e-c4128f4cdb25,False,9,18.0,3,2,4,3,2,89,91,72,0
T3,account:63666769-33e1-4f16-8f62-3995225df491,63666769-33e1-4f16-8f62-3995225df491,False,5,12.0,1,1,3,1,1,69,70,78,0
T3,account:29911c7e-4816-4e64-ae8c-29da256ed2e9,29911c7e-4816-4e64-ae8c-29da256ed2e9,False,9,21.0,2,3,4,2,3,108,109,37,0
T3,account:9eb28602-fae1-4dc2-89ff-98516ca7217c,9eb28602-fae1-4dc2-89ff-98516ca7217c,False,5,15.0,1,2,2,1,2,40,41,12,0
T3,account:f8df8a4f-1c64-44de-b5a3-c6200ec64e3a,f8df8a4f-1c64-44de-b5a3-c6200ec64e3a,False,7,15.0,1,3,3,1,3,69,69,45,0
T3,account:47c7be99-b167-490c-b5b9-f239104b9916,47c7be99-b167-490c-b5b9-f239104b9916,False,4,12.0,1,1,2,1,1,45,45,70,0
T3,account:6d12d71d-37be-4281-bc75-da3b5c65649e,6d12d71d-37be-4281-bc75-da3b5c65649e,False,6,6.0,2,2,2,2,2,63,63,37,0
T3,account:5e01dbfa-c2c3-40c8-992e-fd57771f37a9,5e01dbfa-c2c3-40c8-992e-fd57771f37a9,False,6,9.0,2,1,3,2,1,55,55,72,0
T3,account:aff0b7e6-3c78-4d82-a3fd-4aa31c5196c2,aff0b7e6-3c78-4d82-a3fd-4aa31c5196c2,False,6,18.0,2,1,3,2,1,69,69,14,0
T3,account:e9922c05-5f28-465b-bdd1-0fbd2f4a77aa,e9922c05-5f28-465b-bdd1-0fbd2f4a77aa,False,5,6.0,2,1,2,2,1,55,55,1,0
T3,account:6396bc81-0257-4975-99d0-d584278a382d,6396bc81-0257-4975-99d0-d584278a382d,False,4,9.0,1,1,2,1,0,33,34,12,0
T3,account:455f454a-3fdd-4601-ac51-e1a278b64b9e,455f454a-3fdd-4601-ac51-e1a278b64b9e,False,5,6.0,1,2,2,1,2,49,49,14,0
T3,account:f2d8d64d-e195-479e-b5d2-099eb5ed5fa4,f2d8d64d-e195-479e-b5d2-099eb5ed5fa4,False,6,12.0,1,3,2,1,3,53,54,54,0
T3,account:016357c4-2204-408a-a34a-b6b7c1446f5d,016357c4-2204-408a-a34a-b6b7c1446f5d,False,4,15.0,1,2,1,1,2,35,35,54,0
T3,account:087e6998-7e7b-4f0e-9af4-32e1fa648fc1,087e6998-7e7b-4f0e-9af4-32e1fa648fc1,False,4,6.0,1,1,2,1,1,51,51,37,0
T3,account:65ab0574-a8cb-4d27-b0d5-e3485d7b2a3c,65ab0574-a8cb-4d27-b0d5-e3485d7b2a3c,False,4,9.0,1,1,2,1,1,51,52,52,0
T3,account:deee2c8b-ed54-4af7-b919-a27efdaa1374,deee2c8b-ed54-4af7-b919-a27efdaa1374,False,9,24.0,4,2,3,4,2,95,96,54,0
T3,account:01dc8b1f-d17b-4409-af73-1d227a502bc8,01dc8b1f-d17b-4409-af73-1d227a502bc8,False,6,9.0,1,2,3,1,2,74,75,22,0
T3,account:c6e45b5c-5e6b-4379-bff2-7a16cf6bdd6b,c6e45b5c-5e6b-4379-bff2-7a16cf6bdd6b,False,5,9.0,1,2,2,1,2,69,70,69,0
