transaction_id,scenario,is_fraud,fraud_family,fraud_cluster_id
6ade879b-bac4-4d47-8fec-a7fc93e90e26,t2_normal,False,none,none
56fd546e-e8f7-482d-93e4-e88947d49f8e,t2_normal,False,none,none
5d1b1222-05a8-40f7-b3df-b6c3aec12bde,t3_normal,False,none,none
08f28aa4-0bbe-403b-9f4e-d38d8df9e29f,t3_normal,False,none,none
56150e3f-c3f2-4a4b-ad9f-104cea4e9264,baseline_normal,False,none,none
d4c58f3b-c5a0-4baa-995d-d964f9dcc3c2,baseline_normal,False,none,none
8bf1897e-678e-486a-8890-fd89ad3eaa45,t3_normal,False,none,none
90638554-4c3a-47ed-a8b4-321496fa026f,t3_normal,False,none,none
6aa1845c-a5fe-4f26-ad4a-d3c4eb3be677,baseline_normal,False,none,none
752133b0-16c2-437e-ba42-fcc3f7450894,baseline_normal,False,none,none
a3118eae-c3e1-403c-aa23-4089703c8cde,t2_normal,False,none,none
e2a1ee9d-172b-46b3-9889-6677761e049e,t3_normal,False,none,none
4a499265-f884-4f2c-81ad-33c3abf549f2,t2_normal,False,none,none
76689fc9-847e-46cb-9a2c-5ca2776418cd,baseline_normal,False,none,none
d0d5d0dd-f4ce-4801-b80e-bdf2b20a7a54,baseline_normal,False,none,none
c799faa6-dbd1-4f9e-b223-fd5d17767300,baseline_normal,False,none,none
1221e083-0dcc-430b-841e-6abf898d8e14,t3_normal,False,none,none
ec13eda5-47dc-4acd-b4b2-9318d17c0c4b,t3_normal,False,none,none
fa4810ae-8851-4d0e-9e1c-039398979925,baseline_normal,False,none,none
11183392-6358-4332-ba80-46e4b88c59fa,t2_normal,False,none,none
6d7b2395-f2ac-4034-874b-ed4ffac8d7e9,baseline_normal,False,none,none
c339cc8d-9be1-4208-a6e0-a498b94e58a5,baseline_normal,False,none,none
f5c86ceb-80a4-4a69-a7d5-c9e1dec0bc4c,baseline_normal,False,none,none
87b0c938-00f9-4b96-abd9-f31f3f195dd4,t2_normal,False,none,none
2a45e016-03f1-4907-a68e-71048d0a9f0a,baseline_normal,False,none,none
2b9689f0-d200-44f5-adb6-7ff6e5f7a450,t2_normal,False,none,none
