phase,community_id,size,fraud_account_count,fraud_ratio,density,unique_devices,unique_ips,unique_merchants,shared_device_count,shared_ip_count,shared_device_ratio,shared_ip_ratio,avg_proj_degree
T1,5,172,0,0.0,0.1017,204,227,89,50,40,0.2451,0.1762,48.19
T1,91,145,0,0.0,0.1384,179,220,106,34,22,0.1899,0.1,53.74
T1,81,141,0,0.0,0.1256,171,212,86,50,24,0.2924,0.1132,50.99
T1,23,135,0,0.0,0.1369,159,196,86,34,16,0.2138,0.0816,50.64
T1,51,126,0,0.0,0.1498,159,177,88,25,21,0.1572,0.1186,52.62
T1,94,110,0,0.0,0.1408,137,150,69,22,13,0.1606,0.0867,46.45
T1,32,110,0,0.0,0.1658,132,160,75,27,18,0.2045,0.1125,50.53
T1,49,108,0,0.0,0.2117,146,162,84,30,18,0.2055,0.1111,58.42
T1,71,100,0,0.0,0.1941,132,148,80,19,13,0.1439,0.0878,54.79
T1,44,97,0,0.0,0.1329,132,146,59,19,17,0.1439,0.1164,44.46
T1,73,96,0,0.0,0.1849,120,141,56,18,14,0.15,0.0993,48.92
T1,59,86,0,0.0,0.2134,113,133,66,11,6,0.0973,0.0451,54.06
T1,12,77,0,0.0,0.2215,111,117,66,20,7,0.1802,0.0598,53.73
T1,76,66,0,0.0,0.3865,83,87,62,15,7,0.1807,0.0805,59.3
T1,24,65,0,0.0,0.3611,90,99,68,8,7,0.0889,0.0707,58.94
T1,77,64,0,0.0,0.3686,90,91,70,13,6,0.1444,0.0659,62.12
T1,17,59,0,0.0,0.2957,77,93,50,5,2,0.0649,0.0215,49.07
T1,80,59,0,0.0,0.3197,82,92,56,9,9,0.1098,0.0978,54.22
T1,75,57,0,0.0,0.2807,76,82,42,7,2,0.0921,0.0244,50.28
T1,70,50,0,0.0,0.3086,73,81,42,3,3,0.0411,0.037,50.5
T1,15,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,16,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,0,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,3,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,1,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,8,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,9,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,10,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,11,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,4,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,6,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,7,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,2,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,31,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,30,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,29,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,28,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,26,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,27,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,25,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,21,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,18,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,22,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,19,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,20,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,13,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,14,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,37,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,33,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,48,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,47,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,46,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,50,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,53,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,54,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,35,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,34,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,40,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,41,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,42,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,43,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T1,45,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
