phase,community_id,size,fraud_account_count,fraud_ratio,density,unique_devices,unique_ips,unique_merchants,shared_device_count,shared_ip_count,shared_device_ratio,shared_ip_ratio,avg_proj_degree
T3,0,1938,10,0.0052,0.0893,500,1000,200,500,988,1.0,0.988,172.9
T3,1,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,2,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,3,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,4,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,5,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,6,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,7,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,8,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,9,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,10,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,11,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,12,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,13,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,14,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,15,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,16,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,17,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,18,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,19,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,20,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,21,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,22,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,23,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,24,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,25,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,26,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,27,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,28,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,29,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,30,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,31,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,32,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,33,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,34,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,35,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,36,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,37,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,38,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,39,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,40,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,41,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,42,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,43,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,44,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,45,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,46,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,47,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,48,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,49,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,50,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,51,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,52,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,53,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,54,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,55,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,56,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,57,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,58,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,59,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,60,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,61,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T3,62,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
