device_id,device_type
644d9cda-afce-470b-8733-57b2618df966,desktop
a1e511a8-8941-4d35-ba42-19a8a90b733f,desktop
150070d4-619c-4c1f-b2d3-1c10d8cd57df,desktop
5dec577c-9489-4096-b449-adf7ba45b7ca,mobile
648ac4ab-1152-4be7-a633-1cc7b909802e,mobile
df13234d-92ff-47ff-9f4c-33a85bd869f5,mobile
97e188b2-fb0c-4107-9996-5336ec95a8ed,mobile
0c748940-f2b2-4de1-b9e9-22353ba39cc2,desktop
5bc7fcba-0910-4760-b459-af2417eacb77,desktop
46919800-16ec-443e-abe5-9f10d743efdd,tablet
1f506651-6054-4f09-8a31-2d8a705ff167,tablet
d17d4c8b-1efc-497f-8caf-b74765b024b6,tablet
c41eddf9-05a8-4828-87f2-afd0feb157b3,desktop
f43a9057-9479-4e5c-8335-d3662e3fc50b,mobile
c7ea07b0-f6c9-4fae-af79-d28548542339,mobile
4f8a8613-c9f4-433e-aaab-69981fa5215c,mobile
c423eca5-4889-4939-9664-528771328720,desktop
74995c5e-5b88-48db-9df2-a1d0d5ecd0c6,tablet
4882c592-9e9f-443f-90ef-8ad8469e9cfc,mobile
4978776b-617a-405a-9b5e-04afe7cd7378,tablet
eb88238c-6957-48aa-9a28-7cdf4a6f58a5,tablet
d4f2f729-df95-43eb-a8ca-2a51b255bf60,desktop
ffd4afae-4983-42d2-a17e-772c0057eaa9,desktop
2f9bfd79-86b3-432d-b590-0365df22db6d,mobile
27e25eae-bb02-4d4c-91ff-2796d7a1b5ac,desktop
9298b2e3-afd2-4758-a281-4c9c38014d0e,desktop
24268a0d-7dbb-4faf-bd46-07182013a052,desktop
54725dbc-67a4-4c0f-aa2b-8b34ec29bc63,mobile
7e6cad1e-f1d2-479b-9b7c-7da205e42734,tablet
807b54ac-3f39-4d12-b24b-98d5c75b9310,tablet
ace7c5fb-ef04-4bf8-8480-9f72c1cab1ce,mobile
f1385d90-e468-4de6-8e5a-216116238c7c,tablet
271af447-d84d-4ae7-a16b-e5bfa30d32c9,tablet
6b033f8d-db74-42b3-af52-0596b621fd53,mobile
5a3a6aef-b49f-40cb-99b7-cb64b5ab4fa9,tablet
db6f2067-86bb-466a-8078-304e8fc4711b,desktop
6e215b06-f6ee-492e-b797-bad11e50fdf6,mobile
1380635a-83f5-4319-b5ec-63df93c831ab,mobile
e8d4a91f-28f3-465a-a203-a88d28c6ea74,desktop
60381434-d90b-43e2-b46c-c121ad63b7af,desktop
7faf2578-dd56-420d-bee1-a29b3e410343,desktop
bdbbca13-0876-4d89-bdb4-318d71f8fa7a,desktop
a73635b6-a69a-406f-aa67-9a62458d4815,mobile
7461026c-b239-4019-be5d-ea00fd356922,mobile
2b8a2dcc-a2ea-4bdb-a031-c993c809c7aa,mobile
0984b313-2349-4893-881e-55c2d357c344,desktop
77764396-ecec-46ff-981c-28b4250cc3c9,desktop
1f6f145d-3da1-4572-a6a5-118933ad2bdc,desktop
cc6fa072-e6e6-4f46-8f3c-28f191b10526,desktop
9fde86e9-9059-4e12-8f2c-0925fd51f0ba,desktop
8da5b175-e182-450b-9e65-e6cff46cb9ef,mobile
218474ad-cd1a-47d5-bb6c-cbe080d7611e,desktop
4d679dc1-131a-4c64-83f6-a8a4102e6604,desktop
d8befd11-60e9-4447-bceb-15dc033dda9a,mobile
0d8194dc-7340-4135-ab12-26548486c2a1,tablet
c5320aaa-5a08-4978-8401-ad4fac175a75,tablet
181a3122-5467-46a9-bd4a-209b7a0b3128,desktop
e0f709e9-c33e-41af-a69c-4f2cc86dd082,tablet
6b904748-1ddc-44c7-bbc0-fec02d476708,tablet
537e8703-dd57-4fea-b740-c24fd39ccae6,mobile
72a25133-9bb1-418e-a666-b4dbe8d6b964,desktop
ad177f14-0a38-40aa-b9df-c608d764ca51,mobile
fc96fb58-8e58-4bae-ad17-a459aab6457b,mobile
6585af66-639e-420e-875a-1a9a0377a477,desktop
d38e0230-3ae3-420f-b0ad-d81bf2f8c8de,mobile
c5ef26e0-f262-4d97-a7e8-b28d6a23cee0,desktop
8bab0162-3b8f-484d-97ab-4887c52227b0,desktop
6c732f54-d214-42ca-9f23-625db687a4af,tablet
e38c5dce-eec2-4fac-bb87-eef0e3647136,desktop
e606f297-6860-494f-8b95-10a37bd664df,desktop
19e7af07-9b57-495c-ba78-edf5b5cfc701,desktop
5354ebcd-6a47-4833-9380-8cb4fc16c11f,desktop
6cc5879c-4c32-4c13-8481-54e32ec3c086,desktop
c6c2d400-cc9e-4bcb-a0cf-4690f8edd1e4,tablet
9b755387-7f0d-4c2d-a517-244252cf0444,tablet
9f08a0a8-461f-427b-a7b1-75fecb5a384d,mobile
ee1c63b8-25eb-47e5-a55e-9af9af82aa21,desktop
36ff3062-b1ce-4485-a4e8-c37bcd730662,desktop
4d1f8f7a-3e47-49a0-bdc0-e83a1efcc584,tablet
aa74d8df-d7f2-4a01-ae91-a06f1e255519,tablet
4f67a344-ac7a-451f-8227-a938cdd79d50,mobile
438ef0c3-5f22-4475-b260-f7ee82c06b7b,desktop
2b97e53f-ca2d-4b96-bce5-d204497e4e48,desktop
ed2d9d4b-864f-45eb-b8a8-2652631be1c4,mobile
b295e847-93dc-4b17-bd19-17357a90da3e,desktop
94fc0232-b53a-4fda-93fc-a45b091aa74d,desktop
a0e673bc-7454-4e23-a847-0d313e11d207,desktop
3564b946-1af2-403f-aabc-0fbd47813a37,tablet
e84bf2fb-9566-4cb1-a601-88820bbc1dd6,tablet
671200e2-ae61-4956-82fe-a919c5e608a0,tablet
93d50286-0c39-4b3b-b081-d6e3db5fa468,desktop
1672b380-b43c-46aa-8723-935e47db3ef7,tablet
f8e49a56-6d32-449c-8fd3-3a2161f68240,mobile
452f60f8-b7cd-4577-81ae-6bbbcbe8f4c1,desktop
76c211c2-876a-477e-a548-71fbef17d708,desktop
019f2010-6558-4a28-b132-dbae53a4a0d6,desktop
14f2a578-4ac0-405c-830e-0d2c512c5054,desktop
45ad0d77-893c-4db0-b3ed-eae77fee12a3,desktop
b1562db7-6f87-44db-8f96-c7cc9a967bdb,mobile
4b7f87aa-ab49-45e0-9276-d34b6b79f4bf,tablet
41b490ed-cef3-402a-b386-40943c2bae36,mobile
e2ce610b-afea-40fa-ab68-478284aa80a8,tablet
a2293034-792d-4424-bced-562dc0ebb644,tablet
cfc0af37-b0bd-4dd3-a8df-27a96d50c44f,mobile
088ce225-3d6b-4e65-8c9b-bac070b58fc8,tablet
