phase,community_id,size,fraud_account_count,fraud_ratio,density,unique_devices,unique_ips,unique_merchants,shared_device_count,shared_ip_count,shared_device_ratio,shared_ip_ratio,avg_proj_degree
T2,67,140,2,0.0143,0.1587,166,215,93,40,22,0.241,0.1023,55.78
T2,11,120,0,0.0,0.1312,143,165,68,24,24,0.1678,0.1455,48.39
T2,71,116,1,0.0086,0.1649,144,169,77,23,15,0.1597,0.0888,52.22
T2,20,109,0,0.0,0.1797,136,161,78,27,11,0.1985,0.0683,54.6
T2,42,103,0,0.0,0.138,127,150,59,19,19,0.1496,0.1267,44.88
T2,75,99,0,0.0,0.2214,121,153,79,22,16,0.1818,0.1046,56.21
T2,32,98,0,0.0,0.17,130,145,68,25,15,0.1923,0.1034,50.09
T2,44,96,0,0.0,0.205,131,139,70,16,16,0.1221,0.1151,53.02
T2,3,91,0,0.0,0.2437,127,139,70,19,10,0.1496,0.0719,56.95
T2,53,90,1,0.0111,0.2065,114,152,58,22,12,0.193,0.0789,51.32
T2,4,89,0,0.0,0.1793,104,120,55,19,15,0.1827,0.125,45.63
T2,43,87,0,0.0,0.2366,121,132,79,15,14,0.124,0.1061,56.53
T2,84,76,0,0.0,0.2582,107,122,61,15,10,0.1402,0.082,54.57
T2,48,75,0,0.0,0.2032,101,117,62,13,8,0.1287,0.0684,50.29
T2,0,69,0,0.0,0.2545,93,105,59,8,6,0.086,0.0571,50.54
T2,38,66,0,0.0,0.2862,92,104,66,16,7,0.1739,0.0673,56.79
T2,81,66,0,0.0,0.3217,94,98,61,13,8,0.1383,0.0816,58.71
T2,18,62,0,0.0,0.3046,85,92,56,10,2,0.1176,0.0217,52.6
T2,28,56,0,0.0,0.2981,67,85,45,9,3,0.1343,0.0353,48.79
T2,39,54,0,0.0,0.3375,64,77,45,8,3,0.125,0.039,49.37
T2,78,51,1,0.0196,0.3616,68,92,49,10,5,0.1471,0.0543,55.75
T2,8,46,3,0.0652,0.5758,66,80,50,7,5,0.1061,0.0625,67.0
T2,27,42,2,0.0476,0.3705,63,73,41,5,7,0.0794,0.0959,53.62
T2,50,38,0,0.0,0.3442,46,58,32,3,2,0.0652,0.0345,44.32
T2,17,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,14,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,13,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,15,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,16,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,5,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,6,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,9,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,7,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,2,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,1,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,10,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,12,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,19,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,36,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,34,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,33,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,31,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,30,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,29,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,37,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,41,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,35,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,25,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,21,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,24,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,23,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,26,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,22,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,52,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,51,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,49,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,47,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,45,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,46,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,40,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,55,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
T2,60,1,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
