phase,account_node,account_id,is_fraud_account,degree,weighted_degree,connected_device_count,connected_ip_count,connected_merchant_count,shared_device_count,shared_ip_count,proj_degree,proj_weighted_degree,community_id_louvain,community_id_lpa
T1,account:3293e810-8fb4-42d6-b5c3-11b967920cec,3293e810-8fb4-42d6-b5c3-11b967920cec,False,7,18.0,2,3,2,2,3,58,58,11,0
T1,account:087b38e2-9611-4614-b0d1-e678fe4359f1,087b38e2-9611-4614-b0d1-e678fe4359f1,False,5,9.0,1,2,2,1,2,58,58,77,0
T1,account:d544c8f4-67ea-4616-bff8-1781d458079c,d544c8f4-67ea-4616-bff8-1781d458079c,False,5,6.0,1,2,2,1,2,52,52,48,0
T1,account:1aeeef32-ba70-48d6-9c7c-0a28be73e955,1aeeef32-ba70-48d6-9c7c-0a28be73e955,False,3,9.0,1,1,1,1,1,37,38,11,0
T1,account:5799f55c-506b-42a2-886b-e44c148beb85,5799f55c-506b-42a2-886b-e44c148beb85,False,6,18.0,2,1,3,2,1,73,73,23,0
T1,account:2e94cfaf-3ab7-4d59-9501-ea5856cc3bfc,2e94cfaf-3ab7-4d59-9501-ea5856cc3bfc,False,5,15.0,1,2,2,1,2,61,61,73,0
T1,account:b43be182-9bb2-4581-95e9-491474acbfb2,b43be182-9bb2-4581-95e9-491474acbfb2,False,11,18.0,3,4,4,3,4,91,94,17,0
T1,account:5e1bdc01-72ca-4101-ba81-2077e959ada6,5e1bdc01-72ca-4101-ba81-2077e959ada6,False,10,18.0,2,3,5,2,2,117,117,17,0
T1,account:6b0e34f4-bdcf-4610-945c-20d9d09d7a8e,6b0e34f4-bdcf-4610-945c-20d9d09d7a8e,False,4,12.0,2,1,1,2,1,43,44,73,0
T1,account:805fec30-97b7-4e16-ad7b-b22ce278381b,805fec30-97b7-4e16-ad7b-b22ce278381b,False,7,15.0,1,2,4,1,2,91,94,73,0
T1,account:8cfc1dd3-baed-45b0-b9ed-c4930a985d1e,8cfc1dd3-baed-45b0-b9ed-c4930a985d1e,False,4,6.0,1,1,2,1,1,49,49,11,0
T1,account:203cf68e-f1be-4d78-99fb-54f7b8a86029,203cf68e-f1be-4d78-99fb-54f7b8a86029,False,7,12.0,2,1,4,2,1,101,102,48,0
T1,account:1c5da11d-cc2b-4717-b5d8-a5f7338b7c35,1c5da11d-cc2b-4717-b5d8-a5f7338b7c35,False,3,3.0,1,1,1,1,1,23,23,81,0
T1,account:5ef8aa61-595d-45f9-885a-88ba1d3bb4a7,5ef8aa61-595d-45f9-885a-88ba1d3bb4a7,False,0,0.0,0,0,0,0,0,0,0,0,1
T1,account:a72444aa-6451-4dda-b587-c76f2c01d0fb,a72444aa-6451-4dda-b587-c76f2c01d0fb,False,4,15.0,1,1,2,1,1,49,49,76,0
T1,account:4ba44689-d3f4-4118-8313-750e54d48a39,4ba44689-d3f4-4118-8313-750e54d48a39,False,5,6.0,2,1,2,2,1,65,65,48,0
T1,account:78bf3570-fc4d-463f-95ff-6b55079d5d3e,78bf3570-fc4d-463f-95ff-6b55079d5d3e,False,4,6.0,1,1,2,1,1,40,40,17,0
T1,account:922a5ab3-cd23-45cb-ab97-7d94395a752d,922a5ab3-cd23-45cb-ab97-7d94395a752d,False,7,18.0,2,2,3,2,2,92,93,15,0
T1,account:154eb094-759d-4733-9009-5101cdf161cc,154eb094-759d-4733-9009-5101cdf161cc,False,5,6.0,1,2,2,1,2,52,52,33,0
T1,account:a8d87576-3457-420a-85e5-aacba9d17f34,a8d87576-3457-420a-85e5-aacba9d17f34,False,3,3.0,1,1,1,1,1,27,27,11,0
T1,account:2f3cdc27-644e-497f-b11b-66517fe4b2ad,2f3cdc27-644e-497f-b11b-66517fe4b2ad,False,5,15.0,2,1,2,2,0,39,39,81,0
T1,account:5af89def-1172-4344-9eac-88b0761222e9,5af89def-1172-4344-9eac-88b0761222e9,False,4,6.0,1,1,2,1,1,49,50,77,0
T1,account:2b9e873a-fa2e-4082-ba27-6981b85b4f38,2b9e873a-fa2e-4082-ba27-6981b85b4f38,False,8,12.0,2,3,3,2,3,84,85,75,0
T1,account:57b5b124-b739-4c84-b202-6c57faaa2db4,57b5b124-b739-4c84-b202-6c57faaa2db4,False,5,9.0,1,1,3,1,1,60,60,78,0
T1,account:c685bbc7-57de-4890-aad5-2a0b03310e87,c685bbc7-57de-4890-aad5-2a0b03310e87,False,6,15.0,1,3,2,1,3,61,63,82,0
T1,account:b8e3bb04-e9b2-4e5b-8ed2-b9e821c377dd,b8e3bb04-e9b2-4e5b-8ed2-b9e821c377dd,False,5,15.0,1,3,1,1,3,26,26,17,0
T1,account:143e48b5-c1d4-4197-844c-0cd5eddb20b2,143e48b5-c1d4-4197-844c-0cd5eddb20b2,False,7,15.0,2,3,2,2,3,64,65,78,0
T1,account:7e93cd81-74ca-48b1-a417-231c0d9a4432,7e93cd81-74ca-48b1-a417-231c0d9a4432,False,3,3.0,1,1,1,1,1,26,26,17,0
T1,account:86f78b90-130d-4274-994a-b15f58e36fcc,86f78b90-130d-4274-994a-b15f58e36fcc,False,3,12.0,1,1,1,1,1,26,26,17,0
T1,account:2ce43d57-58bb-4685-8a25-412b3ed4e97b,2ce43d57-58bb-4685-8a25-412b3ed4e97b,False,0,0.0,0,0,0,0,0,0,0,1,2
T1,account:240ea0eb-6168-45bc-a750-8eb4c5388951,240ea0eb-6168-45bc-a750-8eb4c5388951,False,4,24.0,1,1,2,1,1,54,55,58,0
T1,account:dab82313-1c5b-4f10-9685-80e09e0d3bc2,dab82313-1c5b-4f10-9685-80e09e0d3bc2,False,4,6.0,1,2,1,1,2,34,34,82,0
T1,account:6f3afb74-d859-48e3-a726-4f035896ed37,6f3afb74-d859-48e3-a726-4f035896ed37,False,6,15.0,2,1,3,2,1,83,86,63,0
T1,account:48336f20-ce2f-4fcb-a835-fb5b5b17225b,48336f20-ce2f-4fcb-a835-fb5b5b17225b,False,4,6.0,1,1,2,1,1,55,55,48,0
T1,account:cf713618-1bc6-4206-8719-080b4e2afd35,cf713618-1bc6-4206-8719-080b4e2afd35,False,5,15.0,1,2,2,1,2,54,54,58,0
T1,account:19edd3f4-9246-478c-81c2-a269b711c3ef,19edd3f4-9246-478c-81c2-a269b711c3ef,False,5,9.0,1,1,3,1,1,63,64,82,0
T1,account:6b31f8a5-8c8f-4e3e-affe-57ac38cb1c33,6b31f8a5-8c8f-4e3e-affe-57ac38cb1c33,False,4,15.0,1,2,1,1,1,19,20,94,0
T1,account:46bc9d53-0695-4d2f-916d-41be35aaa5ec,46bc9d53-0695-4d2f-916d-41be35aaa5ec,False,6,15.0,1,2,3,1,2,74,75,23,0
T1,account:d2954e79-1e28-4912-a29b-9738e38209f3,d2954e79-1e28-4912-a29b-9738e38209f3,False,3,3.0,1,1,1,1,1,31,31,63,0
T1,account:a03377f6-031f-4a24-8e52-fbcfd2de5d3f,a03377f6-031f-4a24-8e52-fbcfd2de5d3f,False,5,6.0,1,2,2,1,2,46,46,75,0
T1,account:c1a90a59-f86f-48d1-9d0c-df75bbd01253,c1a90a59-f86f-48d1-9d0c-df75bbd01253,False,7,9.0,2,2,3,2,2,68,68,73,0
T1,account:4f618524-8a37-4af0-baa0-dc853597ba5f,4f618524-8a37-4af0-baa0-dc853597ba5f,False,6,12.0,2,1,3,2,1,82,82,77,0
T1,account:7d8cf0de-ec16-478d-9e85-1cedaf82c6dc,7d8cf0de-ec16-478d-9e85-1cedaf82c6dc,False,6,15.0,2,2,2,2,2,53,54,17,0
T1,account:8d21bd23-5141-4946-87a3-462d3251fa12,8d21bd23-5141-4946-87a3-462d3251fa12,False,5,6.0,2,1,2,2,1,53,53,50,0
