merchant_id,created_at,category
51e3a4ec-5189-4892-bc27-e8518fa28730,2026-08-13T08:16:17.949842,food
fba7642a-cab0-4573-8ad3-c2817d8092c4,2026-08-08T10:37:35.191442,digital
2d43c973-b463-4857-a7f4-659b94297366,2026-06-19T00:24:14.497036,travel
32aec0fe-440e-45d9-b6a6-faa0ccfb3b15,2026-08-23T17:24:08.444722,travel
84e70ec1-f913-4491-b3fb-8719472344aa,2026-07-18T02:21:13.306396,retail
7a8ef9fa-82b6-4749-90ec-b0b95b665364,2026-08-20T23:54:16.087441,digital
86bdb84f-4a02-4c45-8ad9-453c3c0442be,2026-07-08T13:25:49.015407,food
59cdfcc5-f42c-4daa-9053-494e7829666c,2026-07-06T17:22:10.869066,retail
f99e5793-da83-4452-b7b7-4caaca48e0c2,2026-05-26T23:56:57.065820,travel
e3ebe523-4403-41c0-8833-c143cbc338c0,2026-08-21T14:20:15.992440,digital
f5c39ea6-3034-4e3e-a02f-fee51c863b7b,2026-06-21T13:05:05.129667,food
f2befc57-8cc6-4c43-8c04-c4fd750c3b4a,2026-06-04T21:45:20.594135,retail
90f0a1ea-a31b-4428-8d15-2275b393c517,2026-08-06T01:22:28.608328,travel
f6f93c53-7114-4827-88bc-59a182b6ee0f,2026-07-12T08:42:19.768333,digital
4fd4c428-4a37-4d77-a1b7-fb9dd3ba0378,2026-08-07T11:44:56.976015,food
c70c5deb-7b64-4ece-9704-3d16c4a116b5,2026-07-25T13:41:48.170127,retail
c0cf45f3-4426-4116-9935-9ee5ce4a55af,2026-08-13T23:49:13.001340,retail
b6b64c1f-8d8a-484a-9dbc-69348e0c9217,2026-06-25T04:30:11.776937,digital
3286a290-764d-4f1c-b38a-cdfd407361d0,2026-05-27T23:27:50.099569,digital
eac17b76-b311-4c60-8c2b-f261887cd361,2026-08-07T10:36:14.041894,travel
0f6cd71d-511a-439b-bba2-54cb9e782216,2026-07-12T05:06:52.948196,travel
c0524f79-fda1-4ccf-bb96-b400fb4ba063,2026-06-01T20:11:25.184605,retail
a5933ee9-ae94-4534-b4f9-bd4f3eae1cfe,2026-08-16T11:21:32.205348,retail
75625596-255f-467d-bd31-2510a9d89173,2026-06-13T04:11:32.357178,food
